Comment,Designator,Footprint,LCSC
"Antenna_Chip","AE1","22XT_Main:XDCR_2450AT18B100E",""
"Battery_Cell","BT1","Battery:BatteryHolder_LINX_BAT-HLD-012-SMT",""
"1 uF","C1,C2","Capacitor_SMD:C_0402_1005Metric",""
"4.7uF","C10,C36","Capacitor_SMD:C_0402_1005Metric",""
"1uF","C13,C19","Capacitor_SMD:C_0402_1005Metric",""
"0.1uF","C3,C4,C8,C9,C12,C14,C16,C17,C18,C20,C21,C22,C23,C24,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C37,C40,C41,C42,C43,C44,C45,C46,C55,C56,C58,C60","Capacitor_SMD:C_0402_1005Metric",""
"10uF","C11,C15,C38","Capacitor_SMD:C_0402_1005Metric",""
"1.2pF","C25","Capacitor_SMD:C_0402_1005Metric",""
"22uF","C39","Capacitor_SMD:C_0402_1005Metric",""
"14pF","C47,C48","Capacitor_SMD:C_0402_1005Metric",""
"17pF","C49,C50","Capacitor_SMD:C_0402_1005Metric",""
"1.5pF","C5,C6","Capacitor_SMD:C_0603_1608Metric",""
"40pF","C51,C52","Capacitor_SMD:C_0402_1005Metric",""
"10nF","C59","Capacitor_SMD:C_0402_1005Metric",""
"2.2uF","C7,C53,C54,C57","Capacitor_SMD:C_0402_1005Metric",""
"D_Schottky","D1","22XT_Main:DO-214BA_MCH",""
"RCLAMP3354S.TCT","D2","Package_TO_SOT_SMD:SOT-23-5",""
"MAX6105EUR+T","IC1","Package_TO_SOT_SMD:SOT-23-3",""
"ESP32-S3","IC10","22XT_Main:QFN40P700X700X90-57N-D",""
"TPS62173DSGT","IC11","22XT_Main:SON50P200X200X80-9N",""
"LP5907MFX-2.5_NOPB","IC2","Package_TO_SOT_SMD:SOT-23-5",""
"SPX3819S-L_TR","IC4","22XT_Main:SOIC127P600X175-8N",""
"INA827AIDGK","IC5,IC7","22XT_Main:SOP65P490X110-8N",""
"AD7175-8BCPZ-RL7","IC6","22XT_Main:QFN50P600X600X80-41N-D",""
"AD8591ARTZ-REEL7","IC8","22XT_Main:SOT95P280X145-6N",""
"LSF0108PWR","IC9","22XT_Main:SOP65P640X120-20N",""
"Mezzanine Edge","J1","22XT_Main:Double Sided Mezzanine Card Edge_Edge Side",""
"DB44 (Analog | Digital)","J4","22XT_Main:aaren_mouser_db44_screws",""
"2.2uH","L1","Inductor_SMD:L_0402_1005Metric",""
"2.7nH","L2","Inductor_SMD:L_0603_1608Metric",""
"2.7nH","L3","Inductor_SMD:L_0402_1005Metric",""
"3.3nH","L4","Inductor_SMD:L_0402_1005Metric",""
"2nH","L5","Inductor_SMD:L_0402_1005Metric",""
"10k","R1,R100,R101","Resistor_SMD:R_0402_1005Metric",""
"36.5k","R10","Resistor_SMD:R_0402_1005Metric",""
"100k","R11,R60","Resistor_SMD:R_0402_1005Metric",""
"64.2k (0.1%)","R12,R25","Resistor_SMD:R_0402_1005Metric",""
"100R","R13","Resistor_SMD:R_0402_1005Metric",""
"DNP","R2,R4,R14,R15,R16,R17,R18,R19,R26,R29,R30,R31,R32,R34","Resistor_SMD:R_0402_1005Metric",""
"352R (0.1%)","R20,R21,R22,R24,R38,R39","Resistor_SMD:R_0402_1005Metric",""
"52.3R","R27,R28","Resistor_SMD:R_0402_1005Metric",""
"1.69k","R3,R8","Resistor_SMD:R_0402_1005Metric",""
"20R","R33","Resistor_SMD:R_0402_1005Metric",""
"200k","R40","Resistor_SMD:R_0402_1005Metric",""
"1.6k","R41,R42,R43,R44,R46,R48,R49,R63,R64,R65","Resistor_SMD:R_0402_1005Metric",""
"22k","R45","Resistor_SMD:R_0402_1005Metric",""
"400R","R47","Resistor_SMD:R_0402_1005Metric",""
"680R","R5","Resistor_SMD:R_0402_1005Metric",""
"120","R50","Resistor_SMD:R_1206_3216Metric",""
"1.07k","R6,R7,R9,R23,R55,R56,R57,R61","Resistor_SMD:R_0402_1005Metric",""
"749013011","T1","22XT_Main:749013011",""
"MISO_ESP","TP1","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"5V_ref","TP10","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"5V_buck","TP11","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"5V_usb","TP12","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"MOSI_ESP","TP2","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"SCLK_ESP","TP3","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"MISO1","TP4","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"MOSI1","TP5","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"SCLK1","TP6","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"5V TP","TP7","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"3V3 TP","TP8","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"2V5 TP","TP9","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"Teensy4.1","U1","22XT_Main:Teensy41",""
"AD5689RARUZ-RL7","U2","22XT_Main:RU_16_ADI",""
"MCP2562FD-E/SN","U3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"TPS2115APWR","U4","22XT_Main:SOP65P640X120-8N",""
"ECS-400-10-37B2-CKY-TR","Y1","22XT_Main:XTAL_ECS-400-10-37B2-CKY-TR",""
"ECS-.327-12.5-34B-TR","Y2","22XT_Main:XTAL_ECS-.327-12.5-34B-TR",""
